Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/07/2014,Travel Booking,Knowledge & Innovation Group - International Knowledge and Innovation,DITCHLEY PARK CONFERENCE CENTRE LTD,48118,-41321.34,U.S. - International Scholarships - Fulbright and Others-Travel Booking,OX7 4ER,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/07/2014,Travel Booking,Knowledge & Innovation Group - International Knowledge and Innovation,DITCHLEY PARK CONFERENCE CENTRE LTD,48118,155.00,International Meeting of Science Ministers - Carnegie-Travel Booking,OX7 4ER,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/07/2014,Travel Booking,Knowledge & Innovation Group - International Knowledge and Innovation,DITCHLEY PARK CONFERENCE CENTRE LTD,48118,61827.01,U.S. - International Scholarships - Fulbright and Others-Travel Booking,OX7 4ER,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,EXPERIS LTD,48199,28595.03,F&C Devolved Admin-Hire of Agency Staff,WA14 1JY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2014,Special Equipment for the Disabled,People & Strategy - Human Resources,STTRS DIRECT,48209,369.12,P&S Devolved Admin-Special Equipment for the Disabled,RG12 9TY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",48237,8.80,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",48237,10.00,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Subsistence UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",48237,4.90,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Taxi Services UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",48237,11.40,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Air Travel Overseas,People & Strategy - Human Resources,"Personal Expense, Name Witheld",48271,5202.10,P&S Non Devolved Admin-Air Travel Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Hire of Agency Staff,People & Strategy - Communications Directorate,BROOK STREET (UK) LTD,48293,396.71,P&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Learning and Dev - CS Skills,Economics & Markets - Consumer and Competition Policy,CAPITA BUSINESS SERVICES LTD,48297,186.00,BLG Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/07/2014,Learning and Dev - CS Skills,Enterprise & Skills Group - Enterprise & Skills,CAPITA BUSINESS SERVICES LTD,48298,143.00,E&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Learning and Dev - CS Skills,Finance & Commercial Group - Information and Technology Directorate,CAPITA BUSINESS SERVICES LTD,48299,5610.00,F&C Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Learning and Dev - CS Skills,Shareholder Executive - Business Portfolio,CAPITA BUSINESS SERVICES LTD,48300,143.00,ShEx Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/07/2014,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,ITSA LTD,48307,-9602.63,BRDO: Product Development-Technical Advice / Services & Support,SS15 6TH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/07/2014,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,ITSA LTD,48307,21125.79,BRDO: Product Development-Technical Advice / Services & Support,SS15 6TH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Hire of Agency Staff,People & Strategy - Communications Directorate,BROOK STREET (UK) LTD,48312,905.10,P&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/07/2014,Economic Consultancy & Research,Economics & Markets - Consumer and Competition Policy,YOUGOV PLC,48320,13500.00,E&M Devolved Admin-Economic Consultancy & Research,EC1Y 8RT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Learning and Dev - CS Skills,Government Office for Science -  Government Office for Science,CAPITA BUSINESS SERVICES LTD,48324,3470.00,Other Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2014,Publicity and Advertising,Economics & Markets - Labour Market,M4C (A DIVISION OF GROUPM UK LTD),48330,26.50,Vulnerable Workers Awareness Raising Campaign-Publicity and Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2014,Publicity and Advertising,Economics & Markets - Labour Market,M4C (A DIVISION OF GROUPM UK LTD),48330,26495.00,Vulnerable Workers Awareness Raising Campaign-Publicity and Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2014,Publicity and Advertising,Economics & Markets - Labour Market,M4C (A DIVISION OF GROUPM UK LTD),48331,59.94,Vulnerable Workers Awareness Raising Campaign-Publicity and Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2014,Publicity and Advertising,Economics & Markets - Labour Market,M4C (A DIVISION OF GROUPM UK LTD),48331,59942.79,Vulnerable Workers Awareness Raising Campaign-Publicity and Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2014,Publicity and Advertising,Economics & Markets - Labour Market,M4C (A DIVISION OF GROUPM UK LTD),48333,12.08,Vulnerable Workers Awareness Raising Campaign-Publicity and Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2014,Publicity and Advertising,Economics & Markets - Labour Market,M4C (A DIVISION OF GROUPM UK LTD),48333,12084.81,Vulnerable Workers Awareness Raising Campaign-Publicity and Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,48334,121.76,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,48334,592.93,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2014,Hire of Agency Staff,Business & Local Growth - Regional Growth,BROOK STREET (UK) LTD,48335,445.78,BLG Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Clearing Account   - Cost - Information Technology,Enterprise & Skills Group - Better Regulation Delivery Office,BROOK STREET (UK) LTD,48355,1394.60,BRDO: PA System Support-Clearing Account   - Cost - Information Technology,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Consultancy Expenditure,"People & Strategy - Director of Change and Corporate Effectiveness, including the BIS Secretariat",CAPITA BUSINESS SERVICES LTD,48364,1291.85,P&S Devolved Admin-Consultancy Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Research and Development Expenditure,Enterprise & Skills Group - Vocational Education Directorate,TNS UK LTD,48372,33700.00,Socially Dis Learning QI-Research and Development Expenditure,W5 1UA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,VISIONIST LTD,48373,12972.00,F&C Devolved Admin-Hire of Agency Staff,BH31 7PB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2014,Other IT Consultancy,Finance & Commercial Group - Modernisation Fund and Shared Services,VISIONIST LTD,48373,7260.00,F&C Devolved Admin-Other IT Consultancy,BH31 7PB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,48377,130.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,48377,165.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Professional Subscriptions,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",48381,189.00,BLG Devolved Admin-Professional Subscriptions,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Grant-In-Aid to Arms Length Bodies,Knowledge & Innovation Group - Research Base,SCIENCE AND TECHNOLOGY FACILITIES COUNCIL,48382,18190000.00,STFC Financing-Grant-In-Aid to Arms Length Bodies,SN2 1SZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Rail Travel UK,Shareholder Executive - ED SME Finance Policy,"Personal Expense, Name Witheld",48385,194.00,E&M Devolved Admin-Rail Travel UK,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Subsistence UK,Shareholder Executive - ED SME Finance Policy,"Personal Expense, Name Witheld",48385,12.00,E&M Devolved Admin-Subsistence UK,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Taxi Services UK,Shareholder Executive - ED SME Finance Policy,"Personal Expense, Name Witheld",48385,24.00,E&M Devolved Admin-Taxi Services UK,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2014,Economic Consultancy & Research,Business & Local Growth - Digital Economy Unit,HERNE HILL CONSULTING LTD,48407,15000.00,BLG Devolved Admin-Economic Consultancy & Research,GL50 3RJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2014,External Legal Advice and Service,Legal Services - Legal Services,ANDERSON STRATHERN LLP,48435,159.50,Litigations-External Legal Advice and Service,EH3 8EY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2014,External Legal Advice and Service,Legal Services - Legal Services,ANDERSON STRATHERN LLP,48435,202.00,Litigations-External Legal Advice and Service,EH3 8EY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Consultancy Expenditure,"People & Strategy - Director of Change and Corporate Effectiveness, including the BIS Secretariat",CAPITA BUSINESS SERVICES LTD,48436,1999.27,P&S Devolved Admin-Consultancy Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,External Legal Advice and Service,Business & Local Growth - Regional Growth,FIELD FISHER WATERHOUSE,48445,5.89,E&M Devolved Admin-External Legal Advice and Service,EC3N 2AA,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,PPM Consultancy,Business & Local Growth - Advanced Manufacturing Services,FIELD FISHER WATERHOUSE,48445,1200.61,BLG Devolved Admin-PPM Consultancy,EC3N 2AA,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Professional Subscriptions,"People & Strategy - Director of Change and Corporate Effectiveness, including the BIS Secretariat",MELCRUM LTD,48447,234.00,P&S Devolved Admin-Professional Subscriptions,SE1 4PL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Hire of Interim Managers,Shareholder Executive - British Business Bank,IRG ADVISORS LLP T/A ODGERS BERNDTSON,48449,13932.00,Central Functions-Hire of Interim Managers,EC4M 6XD,VENDOR,,,
